TradeType,CountryOfDestinationName,Tariff,YearMonth,ChapterAndDescription,StatisticalQuantity,CustomsValue
Exports,Lesotho,8101000,202301,08 - Fruit and nuts,156.0,15245
Exports,Lesotho,8102000,202301,08 - Fruit and nuts,932.28,91394
Exports,Namibia,8031010,202301,08 - Fruit and nuts,120947.67,1098120
Exports,Namibia,8039010,202301,08 - Fruit and nuts,117742.29,1249191
Exports,Eswatini,8081000,202301,08 - Fruit and nuts,374932.94,2747841
Exports,Eswatini,8091000,202301,08 - Fruit and nuts,29.8,3177
Exports,Eswatini,8083000,202301,08 - Fruit and nuts,50502.4,380660
Exports,Canada,8083000,202301,08 - Fruit and nuts,45440.0,758101
Exports,Mauritius,8081000,202301,08 - Fruit and nuts,185203.2,2150680
Exports,Mauritius,8094000,202301,08 - Fruit and nuts,21211.25,516910
Exports,Mauritius,8132000,202301,08 - Fruit and nuts,1650.0,83600
Exports,Malaysia,8081000,202301,08 - Fruit and nuts,43228.0,567834
Exports,Malaysia,8094000,202301,08 - Fruit and nuts,16300.0,476212
Exports,Qatar,8094000,202301,08 - Fruit and nuts,3984.29,105327
Exports,Qatar,8061000,202301,08 - Fruit and nuts,86176.78,2907264
Exports,Botswana,8011110,202301,08 - Fruit and nuts,55.0,5175
Exports,Botswana,8011190,202301,08 - Fruit and nuts,2182.09,35602
Exports,Botswana,8011290,202301,08 - Fruit and nuts,5.0,450
Exports,Botswana,8093000,202301,08 - Fruit and nuts,58025.0,883798
Exports,Botswana,8094000,202301,08 - Fruit and nuts,43491.5,575054
Exports,Botswana,8101000,202301,08 - Fruit and nuts,3956.5,87637
Exports,Botswana,8102000,202301,08 - Fruit and nuts,85.0,420
Exports,Botswana,8104000,202301,08 - Fruit and nuts,1535.0,45330
Exports,Namibia,8109090,202301,08 - Fruit and nuts,148.86,2227
Exports,Namibia,8109010,202301,08 - Fruit and nuts,591.54,22909
Exports,Namibia,8134000,202301,08 - Fruit and nuts,303.0,34074
Exports,Tanzania,8081000,202301,08 - Fruit and nuts,79133.6,1707440
Exports,Namibia,8042090,202301,08 - Fruit and nuts,74.93,11209
Exports,Namibia,8044010,202301,08 - Fruit and nuts,5147.96,354503
Exports,Namibia,8043010,202301,08 - Fruit and nuts,1176.35,38205
Exports,Namibia,8042010,202301,08 - Fruit and nuts,78.2,12316
Exports,Namibia,8132000,202301,08 - Fruit and nuts,601.83,34984
Exports,Namibia,8043090,202301,08 - Fruit and nuts,2759.7,45909
Exports,Namibia,8133000,202301,08 - Fruit and nuts,10.94,936
Exports,Lesotho,8134000,202301,08 - Fruit and nuts,27.0,3677
Exports,Lesotho,8135000,202301,08 - Fruit and nuts,207.68,14713
Exports,Mauritius,8062000,202301,08 - Fruit and nuts,1790.0,83539
Exports,Mauritius,8081000,202301,08 - Fruit and nuts,156552.5,1660821
Exports,Mauritius,8094000,202301,08 - Fruit and nuts,65148.5,1464300
Exports,Mauritius,8093000,202301,08 - Fruit and nuts,16644.0,694900
Exports,Mauritius,8091000,202301,08 - Fruit and nuts,1708.0,86400
Exports,Mali,8083000,202301,08 - Fruit and nuts,3375.0,44811
Exports,Mali,8081000,202301,08 - Fruit and nuts,148190.0,1865364
Exports,Mauritius,8061000,202301,08 - Fruit and nuts,88207.0,2664593
Exports,Mauritius,8083000,202301,08 - Fruit and nuts,8435.0,148800
Exports,Malawi,8132000,202301,08 - Fruit and nuts,3.0,360
Exports,Maldives,8061000,202301,08 - Fruit and nuts,9280.0,72000
Exports,Maldives,8081000,202301,08 - Fruit and nuts,85383.0,1261680
Exports,Maldives,8083000,202301,08 - Fruit and nuts,20519.0,168300
Exports,Malaysia,8055010,202301,08 - Fruit and nuts,162967.0,2596644
Exports,Malaysia,8081000,202301,08 - Fruit and nuts,1047358.05,17169795
Exports,Malaysia,8061000,202301,08 - Fruit and nuts,1202181.6,46575188
Exports,Namibia,8044010,202301,08 - Fruit and nuts,58.0,1284
Exports,Namibia,8071100,202301,08 - Fruit and nuts,124.0,3728
Exports,Namibia,8055090,202301,08 - Fruit and nuts,152.0,2311
Exports,Namibia,8061000,202301,08 - Fruit and nuts,234.0,10600
Exports,Malaysia,8093000,202301,08 - Fruit and nuts,7600.0,105608
Exports,Malaysia,8083000,202301,08 - Fruit and nuts,306320.0,4344989
Exports,Malaysia,8091000,202301,08 - Fruit and nuts,13356.1,600972
Exports,Malaysia,8094000,202301,08 - Fruit and nuts,228816.15,6439476
Exports,Namibia,8072000,202301,08 - Fruit and nuts,381.0,13119
Exports,Namibia,8083000,202301,08 - Fruit and nuts,952.0,12206
Exports,Namibia,8093000,202301,08 - Fruit and nuts,140.0,3750
Exports,Namibia,8081000,202301,08 - Fruit and nuts,40.0,480
Exports,Malawi,8013200,202301,08 - Fruit and nuts,9.0,722
Exports,Democratic Republic Of Congo,8109090,202301,08 - Fruit and nuts,10088.0,209248
Exports,Democratic Republic Of Congo,8051010,202301,08 - Fruit and nuts,8400.0,99800
Exports,Democratic Republic Of Congo,8055010,202301,08 - Fruit and nuts,1950.0,6500
Exports,Democratic Republic Of Congo,8061000,202301,08 - Fruit and nuts,22800.0,91200
Exports,Nigeria,8094000,202301,08 - Fruit and nuts,4767.0,143582
Exports,Nigeria,8055010,202301,08 - Fruit and nuts,26024.0,480000
Exports,Nigeria,8061000,202301,08 - Fruit and nuts,328490.4,7385232
Exports,Nigeria,8083000,202301,08 - Fruit and nuts,226865.28,2934390
Exports,Nigeria,8081000,202301,08 - Fruit and nuts,2839893.42,39950760
Exports,Netherlands,8052110,202301,08 - Fruit and nuts,19500.0,363976
Exports,Netherlands,8061000,202301,08 - Fruit and nuts,37540442.93,1213003617
Exports,Netherlands,8109010,202301,08 - Fruit and nuts,136898.2,5661678
Exports,Netherlands,8101000,202301,08 - Fruit and nuts,21873.6,756000
Exports,Netherlands,8104000,202301,08 - Fruit and nuts,18480.0,1607719
Exports,Netherlands,8094000,202301,08 - Fruit and nuts,6760802.88,144003164
Exports,Netherlands,8091000,202301,08 - Fruit and nuts,7852.0,227156
Exports,Netherlands,8093000,202301,08 - Fruit and nuts,2176575.59,58091717
Exports,Netherlands,8071900,202301,08 - Fruit and nuts,21315.0,253520
Exports,Netherlands,8083000,202301,08 - Fruit and nuts,1280743.06,16045802
Exports,Netherlands,8062000,202301,08 - Fruit and nuts,229886.0,8178056
Exports,Netherlands,8021200,202301,08 - Fruit and nuts,26329.6,3438423
Exports,Netherlands,8134000,202301,08 - Fruit and nuts,20800.0,2218646
Exports,Netherlands,8109090,202301,08 - Fruit and nuts,2926.24,119541
Exports,Netherlands,8131000,202301,08 - Fruit and nuts,5048.8,513048
Exports,New Zealand,8061000,202301,08 - Fruit and nuts,14989.2,439752
Exports,New Zealand,8062000,202301,08 - Fruit and nuts,18750.0,581034
Exports,Norway,8061000,202301,08 - Fruit and nuts,569413.9,13955934
Exports,Norway,8062000,202301,08 - Fruit and nuts,23720.0,1374794
Exports,Oman,8094000,202301,08 - Fruit and nuts,40228.4,653401
Exports,Oman,8083000,202301,08 - Fruit and nuts,117285.5,1386961
Exports,Oman,8061000,202301,08 - Fruit and nuts,16200.0,679397
Exports,Poland,8119090,202301,08 - Fruit and nuts,115000.0,4076776
Exports,Portugal,8061000,202301,08 - Fruit and nuts,184740.25,6967061
Exports,Portugal,8094000,202301,08 - Fruit and nuts,128002.38,2756991
Exports,Portugal,8083000,202301,08 - Fruit and nuts,101277.5,1228064
Exports,Qatar,8083000,202301,08 - Fruit and nuts,96463.5,1433632
